Number,LAT,LON,Jurisdiction,Station_name,x1,x2,x3,x4,Area,FDC.total,runoff,rbias,NSE,r.sq.sqrt,r.sq.log,objFun,FDC.low,FDC.mid,FDC.high,AC,Peaks,slope,KGext
407220,-36.9496,143.641,VIC,Bet,202.5646799,-0.31680024,5.769537964,1.650765812,361.3,0.9147,0.097293096,0.002671383,0.597156622,0.717144797,0.675855264,0.720853541,0.9862158,0.994135166,0.966768679,0.658243831,0.949848485,0.963590106,15
407230,-37.1667,143.9583,VIC,Joyces,141.4170907,-0.119168467,7.385183999,1.2851207,156,0.9134,0.144652316,0.024095383,0.670569274,0.759415699,0.69398238,0.769956427,0.988121387,0.980148912,0.906817222,0.525977793,0.958658009,0.922614841,15
407253,-36.4519,144.4694,VIC,Piccaninny,132.2625744,0.046857238,5,3.175663825,652.1,0.9676,0.102869579,-0.018440012,0.687760279,0.752852407,0.630338181,0.777375622,0.988789981,0.989415808,0.981574504,0.901227088,0.966688312,0.978063604,7
408202,-37.182,143.4056,VIC,Avoca,136.1439464,-0.963351425,22.46586271,0.616055995,82.6,0.7931,0.111547711,-0.011773751,0.424980969,0.636059894,0.617434243,0.635460875,0.976685934,0.987983963,0.919375264,0.181477962,0.936385281,0.916607774,15
410705,-35.3372,149.3139,ACTNSW,Molonglo,111.9377472,-1.749577718,19.08397887,1.363317241,508.6,0.927,0.110128713,-0.007435512,0.60719218,0.697718103,0.637863891,0.695194986,0.978073218,0.999564719,0.973300971,0.790247602,0.942099567,0.965441696,15
410730,-35.5917,148.8217,ACT,Cotter,863.9901589,-1.569034976,114.8739479,1.140296392,130,0.9736,0.339574288,-0.002893645,0.766182937,0.828605968,0.842456761,0.833833092,0.828709056,0.898281787,0.956732799,0.928774927,0.828354978,0.954770318,15
410731,-35.5747,149.0683,ACT,Gudgenby,1665.686503,-6.866777007,30.10996955,1.197271722,671.6,0.821,0.098859433,0.021497553,0.5686377,0.686821518,0.697079124,0.682732804,0.960038536,0.969415808,0.978471929,0.634383599,0.992424242,0.999717314,15
410734,-35.616,149.3488,ACT,Queanbeyan,64.30920382,-3.031445963,64.94151486,1.133433363,563.7,0.9548,0.150187493,-0.029368719,0.682625022,0.651367013,0.541606421,0.65622145,0.953468208,0.972623139,0.990502322,0.867418902,0.941385281,0.985724382,15
410761,-35.5398,149.1002,ACTNSW,Murrumbidgee,123.5401017,-1.833836831,38.85976156,2.110639439,5158.3,0.792,0.108634869,-0.020885895,0.409641061,0.361050113,0.348302245,0.37081022,0.994470135,0.986609393,0.976361334,0.820401014,0.975779221,0.976183746,15
415207,-37.19,143.1833,VIC,Wimmera,139.0773936,-0.244375006,9.752635056,1.32588454,304.5,0.8505,0.12794923,0.017926686,0.57185258,0.77721419,0.776323872,0.78020805,0.986974952,0.991569301,0.952089489,0.823588568,0.936580087,0.950883392,15
415237,-37.0257,142.8218,VIC,Concongella,189.6337972,-1.50506491,10.19717574,1.239813716,244.2,0.9671,0.081948693,-0.006570193,0.626692164,0.803982284,0.821322317,0.800720726,0.996842004,0.993569301,0.954791051,0.675884959,0.976558442,0.961144876,15
422313B,-28.2289,152.2272,QLD,Emu,73.77770831,-1.395500299,39.32886871,1.162116549,153.1,0.6413,0.111921741,0.03979129,0.537217254,0.576110368,-0.106720404,0.585980839,0.975537187,0.970871707,0.939415365,0.898699108,0.940779221,0.957865724,14
422334A,-27.9267,151.8624,QLD,Kings,166.534181,-3.320853592,19.28014439,1.20184188,648.1,0.9156,0.062792812,0.025979677,0.650903688,0.652318361,0.215844666,0.724497424,0.999239692,0.997733104,0.997266779,0.521484356,0.953688312,0.997936396,14
604053,-34.8888,117.0874,WA,Kent,740.3936014,-10,33.42142758,3.469886301,1786,0.9498,0.046788243,0.069932887,0.786422648,0.820807163,0.761391411,0.836264564,0.988737958,0.947101947,0.950506543,0.946195575,0.966493506,0.961342756,9
606001,-34.7668,116.6158,WA,Deep,381.5704242,-9.638255281,64.36595648,4.147578682,473.7,0.9858,0.093303011,0.023538517,0.876844033,0.89973306,0.743379839,0.91309329,0.984101927,0.944089347,0.970873786,0.987387485,0.948051948,0.981837456,9
606002,-34.69,116.52,WA,Weld,1254.725428,-10,30.6610059,1.692795366,73.1,0.9508,0.036440368,0.070212806,0.708296484,0.711314649,0.411402464,0.729466437,0.978304432,0.942490263,0.972456733,0.943558379,0.941753247,0.986007067,9
608002,-34.39,115.84,WA,Carey,2000,-3.736286832,45.65903222,1.440692662,48.3,0.9857,0.132684889,-0.026383731,0.771675449,0.858452641,0.88997613,0.852090289,0.975298651,0.972050401,0.997361756,0.967799378,0.965151515,0.985583039,9
613002,-33.0871,116.0389,WA,Harvey,1848.400692,-0.955698126,79.96889787,2.046974984,148,0.9811,0.221653312,-0.00767558,0.80818503,0.878229124,0.876204058,0.875022295,0.924470135,0.943871707,0.92085268,0.996037607,0.896969697,0.891872792,8
613146,-33,115.92,WA,Clarke,249.8515704,-4.482756279,133.5818333,1.113849839,18.7,0.9716,0.27618971,-0.071675515,0.782687283,0.823445537,0.759182408,0.841477412,0.911830443,0.821764032,0.819544111,0.922823778,0.937445887,0.881978799,8
614044,-32.8114,116.1551,WA,Yarragil,949.6680227,-10,7.031978476,8.52107827,80,0.9533,0.022682915,-0.039119588,0.520776919,0.720417117,0.756017876,0.764768125,0.99805973,0.98943299,0.990386239,0.975284026,0.990367965,0.992367491,9
616002,-32.0684,116.2927,WA,Darkin,815.73895,-10,5.38067854,9.588254552,641.6,0.8055,0.008284269,0.036119728,0.401952122,0.643657584,0.624621241,0.667638898,0.999817148,0.998166094,0.99017729,0.995444206,0.993354978,0.991314488,8
616013,-31.9395,116.4032,WA,Helena,578.8673681,-10,6.075043227,7.5910031,316.2,0.917,0.009131931,-0.090168836,0.336207956,0.407656386,0.286749837,0.552849362,0.993566089,0.99567354,0.996602997,0.897653966,0.992854978,0.999886926,8
804001,-17.0084,125.427,WA,Isdell,599.1657314,0.486436565,12.32074476,1.699831241,1829.4,0.9492,0.187519877,0.013629196,0.782278713,0.824269671,-0.125501436,0.856386069,0.944862235,0.94757732,0.919850148,0.791683778,0.929004329,0.955392226,6
912101A,-18.6419,139.2524,QLD,Gregory,724.5867618,0.309877069,5,3.902509077,12651.7,0.8795,0.090736597,0.007448081,0.435869735,0.417826455,0.109500316,0.481704991,0.978381503,0.984696449,0.965027438,0.785863517,0.95978355,0.97935689,6
917107A,-18.1336,144.3065,QLD,Elizabeth,1346.370512,0.323268014,8.070692791,1,528.1,0.8732,0.098782087,0.021891609,0.687275808,0.645223066,-0.367885178,0.688733417,0.956450867,0.965198167,0.9391832,0.876826793,0.946471861,0.966982332,3
926002A,-11.8327,142.422,QLD,Dulhunty,2000,3.347272133,136.0769865,1.058436933,333.3,0.9822,0.306347991,0.012205697,0.870764162,0.879024558,0.85613715,0.895645304,0.872447013,0.909965636,0.848037146,0.933162286,0.785497835,0.927208481,3
A0020101,-25.9085,139.367,SA,Diamantina,2000,1.318687366,102.3070919,10,119033.6,0.2527,0.056286335,0.013153107,0.07450526,-0.147794748,-1.46900981,-0.063845555,0.981252408,0.98416575,0.977462009,0.991753108,0.992658009,0.989039576,4
A2390519,-37.094,140.776,SA,Mosquito,169.5087977,-5.145025665,30.75706525,2.364428259,1550.1,0.93,0.035434895,0.03280506,0.842213923,0.84502322,0.7590739,0.861182227,0.996930636,0.998825888,0.968583791,0.970355935,0.979047619,0.970438163,9
A5030502,-35.9571,136.6979,SA,Rocky,206.9439338,-1.585354542,33.56498176,0.506118892,187.4,0.9516,0.178867483,0.025804815,0.835305524,0.859707847,0.676105305,0.891944223,0.97044316,0.977640321,0.869143098,0.943041124,0.851298701,0.868763251,9
