Number,LAT,LON,Jurisdiction,Name,x1,x2,x3,x4,Area,CF,runoff,rbias,NSE,r.sq.sqrt,r.sq.log,Viney,FDC.low,FDC.mid,FDC.high,AC,Peaks,Slope,KGext,Type
401216,-36.9327,147.4722,VIC,Big,305.0062771,4.619195211,63.5158446,0.945576337,356.8,4889.974391,0.790557108,0.006741787,0.646106948,0.627826746,0.594015814,0.646239243,0.4375,1.288,10.29,0.8885,7.55,1.839,Cf,Perennial
401217,-36.7566,147.7093,VIC,Gibbo,349.9936349,0.481612457,127.222525,1.590097519,389.8,2484.669552,0.328820948,-0.018597066,0.818849929,0.837399803,0.810935175,0.854856193,0.1473,0.5176,5.932,0.9422,4.621,0.8697,Cf,Perennial
402204,-36.3046,146.9068,VIC,Yackandandah,281.8315234,0.080258007,42.27402536,1.105932691,284.1,1759.25036,0.266254663,-0.029088432,0.796730164,0.825076802,0.776354261,0.855769119,0.09157,0.3042,5.676,0.713,3.55,0.4313,Cf,Perennial
402206,-36.5393,147.0442,VIC,Running,207.1615695,-0.671751642,240.060343,1.193289201,128.1,2456.109416,0.315765289,-0.023115762,0.818065668,0.870788638,0.865501087,0.87737537,0.1397,0.4369,6.134,0.9621,5.515,0.7671,Cf,Perennial
402213,-36.3267,146.885,VIC,Kinchington,265.459572,-0.684261761,36.5422245,1.089213834,123.8,1807.909084,0.253613554,-0.025306602,0.798220402,0.82620429,0.759804405,0.856650316,0.06234,0.2624,7.582,0.658,3.632,0.4567,Cf,Perennial
403209A,-36.3318,146.3447,VIC,Reedy,128.8761125,0.784263031,50.98682861,2.294251941,5505.8,1069.790414,0.220729,0.02458731,0.71297361,0.709638775,0.349214115,0.729380605,0.001939,0.07742,4.424,0.8993,3.168,0.2327,Cf,Perennial
403213A,-36.6185,146.244,VIC,Fifteen,178.2051677,1.910029682,53.63033178,1.028858434,230.9,2329.467025,0.394340037,0.01643676,0.891612179,0.845016035,0.67466888,0.860623327,0.02292,0.3446,7.72,0.6781,5.475,0.6867,Cf,Perennial
403214,-36.5775,146.8201,VIC,Happy,355.4874076,-3.912475682,121.740358,1.127956532,138,1843.897777,0.225402356,0.007280371,0.868107785,0.900951156,0.865904798,0.919113063,0.05843,0.2661,5.954,0.8487,4.518,0.4868,Cf,Perennial
403217,-36.822,146.5815,VIC,Rose,192.8214216,-3.469152219,191.001842,1.1411941,180.3,3058.035002,0.338340395,0.012759163,0.90252812,0.899357369,0.780545551,0.909578048,0.0147,0.3482,9.024,0.8893,8.794,0.895,Cf,Perennial
403221,-36.3107,146.6011,VIC,Reedy,154.7035465,0.432686325,31.55846515,1.153455476,205.5,1599.791456,0.282249451,0.013993215,0.847904909,0.883638212,0.831600587,0.902462598,0.02698,0.1692,6.432,0.7098,3.576,0.4194,Cf,Perennial
403222,-36.9106,146.7001,VIC,Buffalo,108.8711409,-5.348864285,315.6083183,1.288246313,415,3312.171781,0.361130821,0.002686866,0.885169113,0.898985929,0.843929013,0.908828344,0.0657,0.526,9.472,0.9392,8.189,1.042,Cf,Perennial
403232,-36.7513,146.9794,VIC,Morses,241.8068216,-1.89521461,155.6942515,2.034564541,124.1,3090.13834,0.334659945,0.007652322,0.906159229,0.904142066,0.864313493,0.90878742,0.09099,0.4419,8.854,0.8754,7.352,0.8938,Cf,Perennial
404207,-36.6112,146.0592,VIC,Holland,179.3683438,0.696151917,24.9031912,1.233692189,448,1702.366455,0.301963855,0.015230703,0.896507371,0.85890993,0.748766512,0.877131181,0.01656,0.185,6.54,0.6831,4.116,0.398,Cf,Perennial
405205,-37.4137,145.564,VIC,Murrindindi,1845.812672,0.743903197,119.1955322,1.201925009,105.8,4261.561716,0.478793416,-0.011568082,0.700552151,0.772411556,0.79492773,0.77257004,0.7445,1.375,6.429,0.8815,4.237,0.9185,Cf,Perennial
405209,-37.3233,145.71,VIC,Acheron,319.3352468,3.588901456,52.64712647,1.314347371,629.4,4075.464197,0.631599595,-0.011645376,0.778379719,0.767813872,0.735447219,0.799533223,0.3149,1.034,7.955,0.9296,7.29,1.334,Cf,Perennial
405215,-37.2296,146.2072,VIC,Howqua,142.5584132,-3.054343993,267.1346421,1.379671358,374,4100.31036,0.431046377,-0.003654167,0.879558011,0.879728384,0.840122348,0.889543825,0.135,0.7719,10.46,0.9425,9.364,1.531,Cf,Perennial
405217,-37.3833,145.475,VIC,Yea,199.3733334,1.174660256,32.69327881,1.2635524,360.6,2483.861944,0.386945954,-0.001186965,0.828824743,0.876757654,0.877012429,0.887267709,0.1412,0.4759,7.051,0.8388,5.011,0.6827,Cf,Perennial
405218,-37.2917,146.1733,VIC,Jamieson,188.354248,2.165666411,141.3202375,1.582404408,364.2,4742.468892,0.530093618,-0.013425014,0.848123931,0.840498173,0.786835377,0.858204081,0.1479,0.821,13.05,0.9261,10.95,1.701,Cf,Perennial
405219,-37.3308,146.1311,VIC,Goulburn,187.7734221,0.869224719,177.331342,2.176549191,700.2,3950.204214,0.442949155,0.003541232,0.882701673,0.90053613,0.863793853,0.908725872,0.1129,0.6004,11.34,0.9561,9.89,1.404,Cf,Perennial
405226,-36.6148,145.3036,VIC,Pranjip,96.80160989,0.481744046,17.25466569,3.274786023,749.4,768.895636,0.20022168,0.027376649,0.781900298,0.737372947,0.465212518,0.76155191,0.003887,0.0296,4.045,0.8747,1.747,0.09444,Cf,Ephemeral
405227,-37.3679,146.0568,VIC,Big,157.8208711,2.310474091,212.8863835,1.634094848,626.9,4127.227144,0.489337066,-0.016620063,0.862998104,0.886846239,0.873558662,0.896302814,0.2262,0.8202,10,0.9603,9.451,1.26,Cf,Perennial
405238,-37.1203,144.8573,VIC,Mollison,214.016258,0.412081727,48.4087071,0.505527511,164.1,1115.878205,0.233105027,0.023891755,0.522701254,0.703513906,0.52336323,0.730249299,0,0.05471,6.755,0.5845,2.532,0.2387,Cf,Ephemeral
405245,-37.0383,146.0536,VIC,Ford,113.1422557,-1.038606374,11.90200669,1.152376008,115.4,1150.013931,0.188823018,0.024839833,0.701543246,0.746326382,0.669252845,0.783226947,0.005708,0.03967,8.882,0.4483,1.878,0.0985,Cf,Perennial
405248,-36.8544,144.9146,VIC,Major,69.24522457,-3.416804608,47.65474955,0.500603452,287.6,402.3334277,0.1021436,0.025039932,0.470178391,0.563207943,0.238540475,0.654699635,0,0.002837,3.476,0.4419,0.5584,0.01326,Cf,Ephemeral
405263,-37.4628,146.2471,VIC,Goulburn,172.0521818,0.058044234,182.2842278,2.180708686,328.9,3719.798272,0.417870585,0.001682841,0.901190236,0.911860512,0.877691762,0.92479887,0.1155,0.5913,9.529,0.9516,9.46,1.32,Cf,Perennial
405264,-37.5194,146.0761,VIC,Big,286.4023884,-5.577297614,343.3671262,2.204123814,335.4,4408.554836,0.420831173,-0.019787097,0.89210554,0.897481801,0.882883662,0.911599195,0.2936,1.058,9.064,0.9736,8.482,1.505,Cf,Perennial
405274,-37.106,145.6051,VIC,Home,87.75044633,0.344074045,20.60704837,0.501869537,186.7,1314.526377,0.257464994,0.029835879,0.770340275,0.799538621,0.642980651,0.838830581,0.01133,0.06506,7.219,0.4856,3.018,0.1624,Cf,Perennial
406208,-37.39,144.4517,VIC,Campaspe,219.1809331,-2.297982107,19.31005344,1.269288041,37.6,1656.526211,0.231866832,0.026421904,0.772778959,0.798354066,0.706625216,0.815208563,0,0.08463,7.905,0.5721,3.779,0.3674,Cf,Ephemeral
406213,-37.017,144.5395,VIC,Campaspe,157.9890357,0.858947672,21.42275203,0.501944311,633.8,1076.746686,0.262262596,0.031615464,0.552150399,0.657587578,0.177376093,0.693059206,0.0008006,0.04859,6.016,0.7107,2.642,0.2209,Cf,Ephemeral
406214,-36.7735,144.4281,VIC,Axe,124.5679198,0.033362424,5,1.290734675,237,464.7334161,0.127916087,0.013686562,0.622270661,0.772355576,0.64184787,0.789656585,0.0009537,0.01009,4.002,0.4806,0.8024,0.07084,Cf,Ephemeral
406224,-36.5457,144.6377,VIC,Mount,102.1514381,-0.385498712,5,1.943132653,246.3,329.7141786,0.093517366,0.028039909,0.749279227,0.68924168,0.011145087,0.742749145,0,0,3.359,0.4187,0.1462,0,Cf,Ephemeral
407214,-37.2966,143.7898,VIC,Creswick,139.8039754,-0.015556292,12.78854701,1.099208906,299.9,638.2837726,0.153843573,0.021949668,0.635213323,0.735229301,0.685430998,0.749127905,0.003663,0.03408,3.165,0.5843,1.541,0.1137,Cf,Perennial
407215,-37.109,144.058,VIC,Loddon,125.7909505,0.296439326,8.503926015,1.434842662,1028.5,782.2528955,0.193214048,0.017998547,0.672106727,0.750024974,0.599405507,0.762330295,0.00301,0.04945,3.93,0.6547,1.832,0.1465,Cf,Ephemeral
407220,-36.9496,143.641,VIC,Bet,202.5646799,-0.31680024,5.769537964,1.650765812,361.3,382.8485614,0.097293096,0.002671383,0.597156622,0.717144797,0.675855264,0.720853541,0.004607,0.02621,2.579,0.4953,0.5252,0.04056,Cf,Perennial
407230,-37.1667,143.9583,VIC,Joyces,141.4170907,-0.119168467,7.385183999,1.2851207,156,608.2923089,0.144652316,0.024095383,0.670569274,0.759415699,0.69398238,0.769956427,0,0.02519,4.348,0.5453,1.087,0.06534,Cf,Ephemeral
407253,-36.4519,144.4694,VIC,Piccaninny,132.2625744,0.046857238,5,3.175663825,652.1,325.6764235,0.102869579,-0.018440012,0.687760279,0.752852407,0.630338181,0.777375622,0.003266,0.02839,2.281,0.7155,0.4524,0.03867,Bs,Ephemeral
408202,-37.182,143.4056,VIC,Avoca,136.1439464,-0.963351425,22.46586271,0.616055995,82.6,467.8861793,0.111547711,-0.011773751,0.424980969,0.636059894,0.617434243,0.635460875,0.008343,0.04378,2.628,0.4142,0.8536,0.07025,Cf,Ephemeral
410705,-35.3372,149.3139,ACT,Molonglo,111.9377472,-1.749577718,19.08397887,1.363317241,508.6,523.0191085,0.110128713,-0.007435512,0.60719218,0.697718103,0.637863891,0.695194986,0.006622,0.04883,3.101,0.5638,0.591,0.07229,Cf,Ephemeral
410730,-35.5917,148.8217,ACT,Cotter,863.9901589,-1.569034976,114.8739479,1.140296392,130,2756.612412,0.339574288,-0.002893645,0.766182937,0.828605968,0.842456761,0.833833092,0.2559,0.7302,5.546,0.8652,4.511,0.9921,Cf,Perennial
410731,-35.5747,149.0683,ACT,Gudgenby,1665.686503,-6.866777007,30.10996955,1.197271722,671.6,682.8285635,0.098859433,0.021497553,0.5686377,0.686821518,0.697079124,0.682732804,0.04199,0.1341,2.404,0.5758,1.075,0.1859,Cf,Perennial
410734,-35.616,149.3488,ACT,Queanbeyan,64.30920382,-3.031445963,64.94151486,1.133433363,563.7,694.8144733,0.150187493,-0.029368719,0.682625022,0.651367013,0.541606421,0.65622145,0.03977,0.1124,2.967,0.6913,0.8746,0.137,Cf,Perennial
410761,-35.5398,149.1002,ACT,Murrumbidgee,123.5401017,-1.833836831,38.85976156,2.110639439,5158.3,516.141127,0.108634869,-0.020885895,0.409641061,0.361050113,0.348302245,0.37081022,0.0165,0.078,2.074,0.6272,0.7531,0.1188,Cf,Perennial
415207,-37.19,143.1833,VIC,Wimmera,139.0773936,-0.244375006,9.752635056,1.32588454,304.5,565.1470903,0.12794923,0.017926686,0.57185258,0.77721419,0.776323872,0.78020805,0.004365,0.04905,3.104,0.6413,1.085,0.1049,Cf,Perennial
415237,-37.0257,142.8218,VIC,Concongella,189.6337972,-1.50506491,10.19717574,1.239813716,244.2,335.3176618,0.081948693,-0.006570193,0.626692164,0.803982284,0.821322317,0.800720726,0,0.004228,2.631,0.5569,0.5959,0.03005,Cf,Ephemeral
